ind_fcode,name,parent
i347,Electric Lighting Equipment,ihome
i34532,Electronic Consumer Goods Accessories,ihome
i33032,Home Networking/Smart Appliances,ihome
i346,Household Appliances,ihome
i49411,Video Game Consoles,ihome
ihouse,Houseware,idurhg
i313,Cutlery/Hand Tools,ihouse
i2411,Pottery/Ceramics/Porcelain,ihouse
i491,Silverware,ihouse
i41,Food/Beverages,icnp
ibevrge,Beverages/Drinks,i41
ialco,Alcoholic Beverages/Drinks,ibevrge
ialpop,Alcopops/Malternatives,ialco
i427,Brewing,ialco
i424,Distilling,ialco
i426,Wine,ialco
ichmpc,Sparkling Wine,i426
inonal,Non-alcoholic Beverages/Drinks,ibevrge
icoffee,Coffee Products,inonal
i428,Soft Drinks,inonal
ihtwoo,Bottled Water,i428
ijuice,Fruit Juices,i428
iegydrk,Functional Beverages,i428
i42392,Tea Products,inonal
ifood,Food Products,i41
i4221,Animal Feed,ifood
i412,Animal Slaughtering/Processing,ifood
i4122,Meat Processing,i412
i4123,Poultry Processing,i412
ibabyf,Baby Food,ifood
i419,Bread/Bakery Products,ifood
i4223,Breakfast Cereals,ifood
i4229,Condiments/Sauces,ifood
i4224,Cookies/Crackers,ifood
i413,Dairy Products,ifood
i4132,Ice Cream/Frozen Desserts,i413
i4131,Non-frozen Dairy Products,i413
i416,Flour/Malt Products,ifood
i4161,Rice Products,i416
ifadd,Food Additives,ifood
i414,Food Preserving/Speciality Foods,ifood
i4142,Food Canning/Pickling/Drying,i414
i4141,Frozen Food,i414
ifunfod,Functional Foods,ifood
igmfd,Genetically Modified Food,ifood
ihalal,Halal Food,ifood
imeatsub,Meat Substitutes,ifood
iorgf,Organic Food,ifood
i4222,Pet Food,ifood
iffood,Ready Made Meals,ifood
i415,Seafood Products,ifood
i42391,Snack Foods,ifood
isoya,Soya Products,ifood
i418,Starch,ifood
i421,Sugar Products,ifood
iconf,Confectionery,i421
i4211,Sugar,i421
isugsub,Sugar Substitutes,i421
i411,Vegetable Oils,ifood
ifurn,Furniture,icnp
i457,Household/Institutional/Street Furniture,ifurn
i458,Office Furniture,ifurn
i467,Wooden Furniture,ifurn
ihimpro,Home Improvement Products,icnp
ifloor,Floor Coverings,ihimpro
igarden,Gardening Equipment/Tools,ihimpro
iplumff,Plumbing Fittings/Fixtures,ihimpro
i32852,Portable Power Tools,ihimpro
i441,Leather/Fur Goods,icnp
iluxlg,Luxury Leather Goods,i441
ilgood,Leisure/Travel Goods,icnp
i36302,Bicycles/Bicycle Parts,ilgood
i4941,Dolls/Toys/Games,ilgood
igamsof,Games Software,ilgood
i442,Luggage,ilgood
i492,Musical Instruments,ilgood
i3733,Photographic Equipment,ilgood
idigicam,Digital Cameras,i3733
i36102,Recreational Boats,ilgood
isptgds,Sports Goods,ilgood
i4942,Sports Equipment,isptgds
iluxgds,Luxury Goods,icnp
ifinefp,Fragrance/Perfume,iluxgds
ifinej,Jewelry,iluxgds
iluxwa,Luxury Watches,iluxgds
immari,Marijuana Products,icnp
inondhg,Nondurable Household Products,icnp
i4954,Office Supplies (excluding paper),inondhg
ipet,Pet Products,inondhg
i2581,Soap/Cleaning Products,inondhg
ioffeq,Office Equipment/Supplies,icnp
i3301,Electronic Office Equipment,ioffeq
i3302013,Computer Printers/Scanners,i3301
i373,Optical Instruments,icnp
