name,reg_fcode,parent,level
Malta,MALTA,WEURZ,4
Portugal,PORL,WEURZ,4
San Marino,SMARNO,WEURZ,4
Spain,SPAIN,WEURZ,4
American Samoa,AMSAM,PACISZ,4
Anguilla,ANGUIL,CARIBZ,4
Antigua & Barbuda,ANTA,CARIBZ,4
Aruba,ARUBA,CARIBZ,4
Bahamas,BAH,CARIBZ,4
Bermuda,BERM,NAMZ,4
Bosnia and Herzegovina,BSHZG,BALKZ,4
Bouvet Island,BOUV,SOUAFRZ,4
British Virgin Islands,BVI,CARIBZ,4
British Indian Ocean Territory,BIOT,SASIAZ,4
Cape Verde,CVI,WAFRZ,4
Cayman Islands,CAYI,CARIBZ,4
Chad,CHAD,CEAFRZ,4
Christmas Island,CHR,SEASIAZ,4
Cocos (Keeling) Islands,COCOS,SEASIAZ,4
Comoros,COMOR,EAFRZ,4
Cook Islands,COOKIS,PACISZ,4
Curaçao,NANT,CARIBZ,4
Czech Republic,CZREP,EEURZ,4
Estonia,ESTNIA,BALTST,4
Falkland Islands,FALK,SAMZ,4
Faroe Islands,FAEROE,NORDZ,4
French Guiana,FGNA,SAMZ,4
French Polynesia,FPOLY,PACISZ,4
Gibraltar,GIB,WEURZ,4
Greenland,GREENL,NAMZ,4
Guadeloupe,GUAD,CARIBZ,4
Guam,GUAM,PACISZ,4
Guernsey,GUERN,WEURZ,4
Heard & McDonald Islands,HEARD,SOUAFRZ,4
Vatican City,VCAN,WEURZ,4
Isle of Man,ISLEOM,WEURZ,4
Jersey,JERSEY,WEURZ,4
Kyrgyzstan,KIRGH,CASIAZ,4
Madagascar,MALAG,EAFRZ,4
Marshall Islands,MAH,PACISZ,4
Martinique,MARQ,CARIBZ,4
Mauritania,MAURTN,WAFRZ,4
Mauritius,MAURTS,EAFRZ,4
Mayotte,MAYOT,EAFRZ,4
Monaco,MONAC,WEURZ,4
Montenegro,MNTNG,BALKZ,4
Montserrat,MONT,CARIBZ,4
New Caledonia,NEWCAL,PACISZ,4
Niue,NIUE,PACISZ,4
Norfolk Island,NORFIS,PACISZ,4
Northern Mariana Islands,NOMARI,PACISZ,4
